gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000178623,70.18882054647979,-1.697586573204113,0.8856250219715446,0.007708768708593621,0.04680267922150536,GPR35,GPR35,Down,TRUE,TRUE,2.113014984564781,1.329729285006846
ENSG00000184860,77.27880521383243,-1.5416350250578867,0.7599732252677407,0.0076999662379974,0.04680267922150536,SDR42E1,SDR42E1,Down,TRUE,TRUE,2.113511179072138,1.329729285006846
ENSG00000243708,86.54204519009313,-1.4739045282007426,0.7096947157146882,0.007713472413436763,0.04680267922150536,PLA2G4B,PLA2G4B,Down,TRUE,TRUE,2.11275006935498,1.329729285006846
ENSG00000236609,63.310240625207335,-1.299724557740223,0.5923902051708251,0.007713916298008851,0.04680267922150536,ZNF853,ZNF853,Down,TRUE,TRUE,2.1127250778773012,1.329729285006846
ENSG00000188056,30.553894059679045,-2.119208487762695,1.3356874213503431,0.007722609571143591,0.04683997032101934,TREML4,TREML4,Down,TRUE,TRUE,2.112235921057531,1.3293833887794697
ENSG00000196361,62.35660358973708,-2.0781449278193347,1.2981090885440554,0.007726331169336204,0.0468470920554213,ELAVL3,ELAVL3,Down,TRUE,TRUE,2.1120266808750063,1.3293173619475924
ENSG00000134871,4088.2059917300553,1.8339281843203274,0.9890460066825599,0.007729964969709345,0.046853676925825594,COL4A2,COL4A2,Up,TRUE,TRUE,2.1118224741924645,1.3292563214050988
ENSG00000150051,23.016950935751314,-1.6162192867483909,0.8147261486082584,0.007744274416033929,0.04691131216090732,MKX,MKX,Down,TRUE,TRUE,2.1110192663327014,1.3287224191894547
ENSG00000075884,134.838946055226,1.2603822873588453,0.5659999465074748,0.007744575514981763,0.04691131216090732,ARHGAP15,ARHGAP15,Up,TRUE,TRUE,2.1110023812040897,1.3287224191894547
ENSG00000157703,73.39458768767273,-1.8159143334921664,0.9957566054967869,0.007754756769709765,0.046957516297320576,SVOPL,SVOPL,Down,TRUE,TRUE,2.110431819414461,1.3282948820946487
ENSG00000103489,325.96055229718394,-1.562567140561296,0.7795834845963241,0.007778270864881378,0.04708439802671775,XYLT1,XYLT1,Down,TRUE,TRUE,2.109116937368158,1.327122977656848
ENSG00000198576,98.92298485128262,-1.8239142738627214,1.0101131264653325,0.007807261001672407,0.047230610042227915,ARC,ARC,Down,TRUE,TRUE,2.1075013016534543,1.3257764449322498
ENSG00000177096,58.00632953181482,-1.4431406419180643,0.6891797124323589,0.007807561420792435,0.047230610042227915,PHETA2,PHETA2,Down,TRUE,TRUE,2.1074845905615733,1.3257764449322498
ENSG00000169223,560.9287254124843,1.4552862199144954,0.6937328060393666,0.007817332192773965,0.04727416607205301,LMAN2,LMAN2,Up,TRUE,TRUE,2.106941432571052,1.3253761234771066
ENSG00000167779,80.50588617898212,-1.4474096828088492,0.6936015022845154,0.007833377294796075,0.047355624079980216,IGFBP6,IGFBP6,Down,TRUE,TRUE,2.106050955149997,1.324628435628899
ENSG00000188095,19.413099089259763,-2.151207869234026,1.3682588197513412,0.007836180305444251,0.047357001583016686,MESP2,MESP2,Down,TRUE,TRUE,2.1058955797269943,1.3246158028470836
ENSG00000165762,68.87823148540642,-2.0950297767310335,1.335938999651241,0.007839407794948043,0.04736094262453828,OR4K2,OR4K2,Down,TRUE,TRUE,2.1057167435783626,1.3245796624388202
